date,equity,cash,position_value,open_positions,gross_exposure
2025-07-31,120292.03156268632,71923.75026068164,48368.281302004674,2,0.40209048491128946
2025-08-03,120292.03156268632,71923.75026068164,48368.281302004674,2,0.40209048491128946
2025-08-04,120292.03156268632,71923.75026068164,48368.281302004674,2,0.40209048491128946
2025-08-05,120292.03156268632,71923.75026068164,48368.281302004674,2,0.40209048491128946
2025-08-06,120292.03156268632,71923.75026068164,48368.281302004674,2,0.40209048491128946
2025-08-07,120292.03156268632,71923.75026068164,48368.281302004674,2,0.40209048491128946
2025-08-10,123625.09002355841,98701.39005521817,24923.699968340232,1,0.201607133014752
2025-08-11,124413.23136195977,74735.096553091,49678.13480886876,2,0.3992994496247624
2025-08-12,123967.3081527252,74735.096553091,49232.2115996342,2,0.39713866771214484
2025-08-13,125188.04525376768,74735.096553091,50452.94870067667,2,0.4030173056732686
2025-08-14,124535.28985302802,74735.096553091,49800.19329993702,2,0.3998882032451153
2025-08-17,123518.11818869459,73687.0380031142,49831.080185580395,2,0.4034313420275322
2025-08-18,127028.48366878813,101430.30482100064,25598.17884778749,1,0.20151526735162595
2025-08-19,127092.95082843851,101430.30482100064,25662.646007437877,1,0.20192029408522918
2025-08-20,126296.31766479039,101430.30482100064,24866.012843789747,1,0.1968862853926424
2025-08-21,126121.33411959765,101430.30482100064,24691.029298597023,1,0.19577202755548992
2025-08-24,126231.85050514,101430.30482100064,24801.545684139364,1,0.19647613169648873
2025-08-25,126061.47276083565,101430.30482100064,24631.16793983501,1,0.1953901330866201
2025-08-26,125946.35233100329,101430.30482100064,24516.04751000265,1,0.1946546847626941
2025-08-27,126233.16950595798,76171.04128804256,50062.12821791543,2,0.3965845776814832
2025-08-28,126361.57545184152,50886.08371888968,75475.49173295185,3,0.5972978056269709
2025-08-31,124788.98480941891,50886.08371888968,73902.90109052922,3,0.5922229530386494
2025-09-01,126270.59539669554,50886.08371888968,75384.51167780586,3,0.5970076520267888
2025-09-02,126980.98649547836,25477.181968919016,101503.80452655934,4,0.799362229952228
2025-09-03,127350.56047903748,25477.181968919016,101873.37851011846,4,0.799944484947024
2025-09-07,131671.41548568627,53020.8449076501,78650.57057803619,3,0.5973245619630035
2025-09-08,133126.90551867645,81336.70288012965,51790.202638546805,2,0.38902881755394764
2025-09-09,133134.98665281283,81336.70288012965,51798.28377268318,2,0.3890659027725136
2025-09-10,132524.3788114434,54818.568050426125,77705.81076101729,3,0.5863510658033542
2025-09-11,131979.52779723436,54818.568050426125,77160.95974680824,3,0.5846433991289455
2025-09-14,131733.2825869591,2085.708667733332,129647.57391922578,5,0.9841671851883254
2025-09-15,130976.9570150084,27284.061616405637,103692.89539860276,4,0.7916880782832723
2025-09-16,127696.89958178057,76371.07448601726,51325.82509576331,2,0.40193477886981005
2025-09-17,127273.99167542199,76371.07448601726,50902.91718940473,2,0.3999475188868037
2025-09-18,127439.44328558925,101080.42343453945,26359.0198510498,1,0.2068356481437208
2025-09-21,127022.90608518424,101080.42343453945,25942.48265064479,1,0.2042346805799516
2025-09-22,126814.63748498174,101080.42343453945,25734.214050442286,1,0.20292778941618556
2025-09-23,127035.9231830416,101080.42343453945,25955.49974850214,1,0.20431622094093632
2025-09-24,127074.97199385609,101080.42343453945,25994.54855931664,1,0.20456072625043303
2025-09-25,127504.52629211845,101080.42343453945,26424.102857579,1,0.2072405084431295
2025-09-28,129509.41058020419,75165.5838987307,54343.82668147348,2,0.4196129566030166
2025-09-29,129254.53101790044,49301.7457760893,79952.78524181114,3,0.6185685299553522
2025-09-30,130267.8090580082,23235.15066693308,107032.65839107512,4,0.8216355150596992
2025-10-01,129659.00791618344,23235.15066693308,106423.85724925036,4,0.820798022132383
2025-10-02,129999.34732929608,23235.15066693308,106764.196662363,4,0.8212671744568296
2025-10-05,133119.75824239012,25973.466626011672,107146.29161637845,4,0.8048864648723439
2025-10-06,133973.11686888034,25973.466626011672,107999.65024286868,4,0.8061292650865776
2025-10-07,134592.62133204614,54853.14520859369,79739.47612345245,3,0.592450576668178
2025-10-08,134454.22997522104,54853.14520859369,79601.08476662736,3,0.5920310932671831
2025-10-12,133494.9860984626,54853.14520859369,78641.8408898689,3,0.5890995848478131
2025-10-13,134685.85652312322,27902.498580655083,106783.35794246812,4,0.792832749473849
